"","PC1","PC2","PC3","PC4"
"Alabama",64.8021636817436,-11.4480073977837,-2.49493284038366,-2.40790093375486
"Alaska",92.8274501566946,-17.9829427006718,20.1265748735977,4.09404703053041
"Arizona",124.068216289648,8.8304030427036,-1.68744835668705,4.35368520359609
"Arkansas",18.3400354054072,-16.7039113810095,0.210189364140459,0.520993603601997
"California",107.422953125475,22.5200697704229,6.74587299235956,2.81182590291373
"Colorado",34.9759859594071,13.7195840329554,12.2793628034841,1.72146370000853
"Connecticut",-60.8872819318546,12.9325301564357,-8.42065718885694,0.699902287100497
"Delaware",66.7310254465241,1.35379779717712,-11.2809573450627,3.72798119075026
"Florida",165.244370319248,6.27469006959417,-2.99793314838687,-1.24768071379145
"Georgia",40.5351765876529,-7.29023959219437,3.60952945561059,-7.34367284165603
"Hawaii",-123.536105769847,24.291207910916,3.72444284008564,-3.47284940369505
"Idaho",-51.7970022509675,-9.46919099467921,-1.52006355638493,3.347828326557
"Illinois",78.9920972971611,12.8970604614357,-5.88326476858703,-0.367640738494231
"Indiana",-57.5509607347644,2.84626471235194,3.73816048848586,-1.64943016073772
"Iowa",-115.586789703854,-3.34213050228539,-0.654029354180598,0.869495984279688
"Kansas",-55.7896941123022,3.15723392471997,0.384364163111937,-0.652791689942788
"Kentucky",-62.3831806112079,-10.6732714680385,2.23708902971564,-3.87621641192646
"Louisiana",78.2776313152135,-4.29491749799138,-3.82786965239576,-4.48355899807498
"Maine",-89.2610442661687,-11.487827200839,-4.69240561590093,2.11619948317566
"Maryland",129.330135502788,-5.00703147597232,-2.34717281642701,1.92832424634247
"Massachusetts",-21.2662826315275,19.4501790329282,-7.50714835124438,1.03481894814418
"Michigan",85.4515266722104,5.90455669704365,6.46434210133596,-0.49904789029528
"Minnesota",-98.9548155235301,5.20960058227443,0.00657375986112343,0.731895663983769
"Mississippi",86.8563576862984,-27.4284196328667,-5.00343623998491,-3.87975768645158
"Missouri",7.98628866990333,5.27564139833891,5.50057972194065,-0.67940550460075
"Montana",-62.4836353013543,-9.51050205328579,1.83835536172302,-0.245942647407811
"Nebraska",-69.096544351272,-0.211195916792751,0.468020859327738,0.656566426699307
"Nevada",83.6135784392142,15.1021838986663,15.8886948158416,-0.334196243688035
"New Hampshire",-114.777354501664,-4.73455836403614,-2.2823869337811,0.93591056275078
"New Jersey",-10.815725119435,23.1373388713124,-6.31015739277922,-1.61242729238686
"New Mexico",114.86816260433,-0.336453098274831,2.26126996009525,1.3812477639553
"New York",84.2942305183222,15.9239655420362,-4.72125960088984,-0.89201935012913
"North Carolina",164.325514489152,-31.0966152578345,-11.6961635002625,2.11119273326
"North Dakota",-127.495596550323,-16.1350393817083,-1.31182982457761,2.30096391525437
"Ohio",-50.0868216712847,12.2793243774034,1.65733077217565,-2.02911567315057
"Oklahoma",-19.6937228951609,3.3701310208186,-0.453143294595279,0.180345739332142
"Oregon",-11.1502395794911,3.8660681516975,8.12998049836995,2.91401088922199
"Pennsylvania",-64.6891419240492,8.91154655201737,-3.20646858319649,-1.8749353072635
"Rhode Island",3.06397257106163,18.3739704209844,-17.470019699928,2.30825967705142
"South Carolina",107.281068657401,-23.5361158958813,-2.03279501430638,-1.25174625682115
"South Dakota",-86.1067200506116,-16.5978586472767,1.31437998489869,1.25228738950292
"Tennessee",17.5062642727291,-6.50657560196015,6.10012753172529,-3.9228557513671
"Texas",31.2911217386535,12.984956649108,-0.393409217561225,-4.24200404821675
"Utah",-49.9133974043838,17.648457667334,1.78816852005474,1.86770523912379
"Vermont",-124.714469158317,-27.3135590838199,4.80277765111821,2.00498567770794
"Virginia",-14.8174481590233,-1.7526150184141,1.04538813418231,-1.17384083282033
"Washington",-25.0758389831245,9.96796690580461,4.78112763617556,2.69108186122185
"West Virginia",-91.5446469773181,-22.9528777669385,-0.401983435298284,-0.736878098420183
"Wisconsin",-118.176327855097,5.50757920474225,-2.71132076743689,-0.204972398473774
"Wyoming",-10.4345393883043,-5.92445292066816,-3.7944468203212,0.517867427500318
